"state","name","dem","rep","other","totalvotes","margin","remainingvote"
"Alabama","Marshall",5880,33094,518,39492,-27214,"0%"
"Alabama","Mobile",78754,100605,2424,181783,-21851,"7%"
"Alabama","Monroe",4425,6129,66,10620,-1704,"0%"
"Alabama","Montgomery",64065,33122,1289,98476,30943,"0%"
"Alabama","Morgan",13159,39504,819,53482,-26345,"1%"
"Alabama","Perry",3849,1336,30,5215,2513,"0%"
"Alabama","Pickens",4017,5590,52,9659,-1573,"0%"
"Alabama","Pike",5613,8020,163,13796,-2407,"0%"
"Alabama","Randolph",2203,8548,73,10824,-6345,"0%"
"Alabama","Russell",11078,9796,234,21108,1282,"0%"
"Alabama","Shelby",33036,79428,1975,114439,-46392,"0%"
"Alabama","St. Clair",7698,36119,529,44346,-28421,"0%"
"Alabama","Sumter",4639,1598,45,6282,3041,"0%"
"Alabama","Talladega",13092,22210,289,35591,-9118,"0%"
"Alabama","Tallapoosa",5815,14905,168,20888,-9090,"0%"
"Alabama","Tuscaloosa",37514,50961,1285,89760,-13447,"3%"
"Alabama","Walker",4826,25947,333,31106,-21121,"1%"
"Alabama","Washington",2253,6554,54,8861,-4301,"0%"
"Alabama","Wilcox",4036,1826,22,5884,2210,"1%"
"Alabama","Winston",974,10187,112,11273,-9213,"0%"
"Arkansas","Arkansas",1818,4304,170,6292,-2486,"6%"
"Arkansas","Ashley",2125,5548,253,7926,-3423,"0%"
"Arkansas","Baxter",4635,15836,536,21007,-11201,"5%"
"Arkansas","Benton",42249,73965,3698,119912,-31716,"0%"
"Arkansas","Boone",3064,13652,398,17114,-10588,"0%"
"Arkansas","Bradley",1214,2335,105,3654,-1121,"3%"
"Arkansas","Calhoun",479,1636,67,2182,-1157,"7%"
"Arkansas","Carroll",4023,7424,350,11797,-3401,"0%"
"Arkansas","Chicot",2260,1752,91,4103,508,"16%"
"Arkansas","Clark",3438,4616,341,8395,-1178,"0%"
"Arkansas","Clay",962,4086,135,5183,-3124,"3%"
"Arkansas","Cleburne",1988,10328,364,12680,-8340,"0%"
"Arkansas","Cleveland",651,2867,82,3600,-2216,"0%"
"Arkansas","Columbia",2814,5500,302,8616,-2686,"0%"
"Arkansas","Conway",2615,5694,376,8685,-3079,"0%"
"Arkansas","Craighead",11921,25558,1032,38511,-13637,"0%"
"Arkansas","Crawford",4959,18607,525,24091,-13648,"4%"
"Arkansas","Crittenden",8514,7333,520,16367,1181,"13%"
"Arkansas","Cross",1772,4946,224,6942,-3174,"2%"
"Arkansas","Dallas",963,1573,113,2649,-610,"23%"
"Arkansas","Desha",2016,1921,227,4164,95,"16%"
"Arkansas","Drew",2426,4349,133,6908,-1923,"0%"
"Arkansas","Faulkner",18347,34421,1660,54428,-16074,"0%"
"Arkansas","Franklin",1300,5677,152,7129,-4377,"0%"
"Arkansas","Fulton",1035,3961,123,5119,-2926,"0%"
"Arkansas","Garland",14045,29069,1085,44199,-15024,"3%"
"Arkansas","Grant",1268,6794,138,8200,-5526,"0%"
"Arkansas","Greene",3045,12651,370,16066,-9606,"2%"
"Arkansas","Hempstead",2138,4470,240,6848,-2332,"6%"
"Arkansas","Hot Spring",3082,9202,273,12557,-6120,"6%"
"Arkansas","Howard",1340,3367,127,4834,-2027,"0%"
"Arkansas","Independence",2806,11250,456,14512,-8444,"0%"
"Arkansas","Izard",1021,4631,158,5810,-3610,"0%"
"Arkansas","Jackson",1365,3593,133,5091,-2228,"0%"
"Arkansas","Jefferson",14882,9500,648,25030,5382,"18%"
"Arkansas","Johnson",2283,6938,277,9498,-4655,"0%"
"Arkansas","Lafayette",839,1757,83,2679,-918,"18%"
"Arkansas","Lawrence",1080,4569,208,5857,-3489,"0%"
"Arkansas","Lee",1423,1286,139,2848,137,"26%"
"Arkansas","Lincoln",1032,2729,114,3875,-1697,"0%"
"Arkansas","Little River",1226,3715,236,5177,-2489,"0%"
"Arkansas","Logan",1544,6441,240,8225,-4897,"0%"
"Arkansas","Lonoke",6686,22884,1092,30662,-16198,"0%"
"Arkansas","Madison",1563,5658,130,7351,-4095,"0%"
"Arkansas","Marion",1531,5783,189,7503,-4252,"0%"
"Arkansas","Miller",4245,11920,364,16529,-7675,"8%"
"Arkansas","Mississippi",4542,7262,483,12287,-2720,"11%"
"Arkansas","Monroe",1147,1545,124,2816,-398,"22%"
"Arkansas","Montgomery",731,3046,96,3873,-2315,"0%"
"Arkansas","Nevada",775,1275,69,2119,-500,"37%"
"Arkansas","Newton",709,3192,97,3998,-2483,"0%"
"Arkansas","Ouachita",3995,5294,340,9629,-1299,"17%"
"Arkansas","Perry",1012,3479,136,4627,-2467,"0%"
"Arkansas","Phillips",3623,2417,202,6242,1206,"0%"
"Arkansas","Pike",644,3519,83,4246,-2875,"0%"
"Arkansas","Poinsett",1424,5918,179,7521,-4494,"6%"
"Arkansas","Polk",1246,7035,209,8490,-5789,"0%"
"Arkansas","Pope",5772,18081,579,24432,-12309,"3%"
"Arkansas","Prairie",654,2786,55,3495,-2132,"2%"
"Arkansas","Pulaski",101947,63687,4322,169956,38260,"5%"
"Arkansas","Randolph",1215,5355,242,6812,-4140,"0%"
"Arkansas","Saint Francis",3604,3242,262,7108,362,"24%"
"Arkansas","Saline",16060,39556,1343,56959,-23496,"0%"
"Arkansas","Scott",483,2962,106,3551,-2479,"5%"
"Arkansas","Searcy",588,3365,66,4019,-2777,"0%"
"Arkansas","Sebastian",14487,31198,1455,47140,-16711,"6%"
"Arkansas","Sevier",1116,3884,202,5202,-2768,"0%"
"Arkansas","Sharp",1398,5938,230,7566,-4540,"0%"
"Arkansas","Stone",1180,4616,142,5938,-3436,"0%"
"Arkansas","Union",5584,10478,545,16607,-4894,"6%"
"Arkansas","Van Buren",1593,6034,180,7807,-4441,"0%"
"Arkansas","Washington",43824,47504,2938,94266,-3680,"0%"
"Arkansas","White",5978,24182,725,30885,-18204,"2%"
"Arkansas","Woodruff",856,1543,77,2476,-687,"11%"
"Arkansas","Yell",1284,5226,231,6741,-3942,"0%"
"Arizona","Apache",23293,11442,NA,35172,11851,"0%"
"Arizona","Cochise",23732,35557,NA,60442,-11825,"0%"
"Arizona","Coconino",44698,27052,NA,73272,17646,"0%"
"Arizona","Gila",8943,18377,NA,27662,-9434,"0%"
"Arizona","Graham",4034,10749,NA,14995,-6715,"0%"
"Arizona","Greenlee",1182,2433,NA,3685,-1251,"0%"
"Arizona","La Paz",2236,5129,NA,7458,-2893,"0%"
"Arizona","Maricopa",1040774,995665,NA,2068144,45109,"0%"
"Arizona","Mohave",24831,78535,NA,104668,-53704,"0%"
"Arizona","Navajo",23383,27657,NA,51767,-4274,"0%"
"Arizona","Pima",304981,207758,NA,520397,97223,"0%"
"Arizona","Pinal",75106,107077,3342,185525,-31971,"0%"
"Arizona","Santa Cruz",13138,6194,NA,19556,6944,"0%"
"Arizona","Yavapai",49602,91527,NA,143221,-41925,"0%"
"Arizona","Yuma",32210,36534,NA,69881,-4324,"0%"
"California","Alameda",617486,136238,NA,769617,481248,"0%"
"California","Alpine",473,238,25,736,235,"0%"
"California","Amador",8153,13585,NA,22302,-5432,"0%"
"California","Butte",50416,48723,NA,102024,1693,"6%"
"California","Calaveras",9845,16287,NA,26717,-6442,"0%"
"California","Colusa",3218,4539,NA,7919,-1321,"0%"
"California","Contra Costa",415573,152497,NA,579996,263076,"0%"
"California","Del Norte",4659,6444,NA,11416,-1785,"0%"
"California","El Dorado",51606,61820,NA,116101,-10214,"0%"
"California","Fresno",192118,163880,NA,363271,28238,"0%"
"California","Glenn",3939,7000,NA,11170,-3061,"0%"
"California","Humboldt",43633,21069,NA,66914,22564,"1%"
"California","Imperial",32165,18720,NA,51966,13445,"5%"
"California","Inyo",4623,4611,NA,9460,12,"0%"
"California","Kern",128957,159846,NA,295916,-30889,"0%"
"California","Kings",17898,23372,NA,42315,-5474,"0%"
"California","Lake",6874,3955,NA,11038,2919,"60%"
"California","Lassen",2775,8814,NA,11800,-6039,"3%"
"California","Los Angeles",3020546,1142225,NA,4251487,1878321,"0%"
"California","Madera",23154,29361,NA,53690,-6207,"0%"
"California","Marin",128262,24610,NA,155771,103652,"2%"
"California","Mariposa",4088,5950,NA,10280,-1862,"0%"
"California","Mendocino",18303,6312,NA,25171,11991,"41%"
"California","Merced",48685,39132,NA,89953,9553,"0%"
"California","Modoc",1150,3109,NA,4338,-1959,"4%"
"California","Mono",4013,2513,NA,6737,1500,"0%"
"California","Monterey",113893,46274,NA,163797,67619,"0%"
"California","Napa",46962,19388,NA,67847,27574,"3%"
"California","Nevada",36332,26753,NA,64683,9579,"0%"
"California","Orange",813918,676430,NA,1521562,137488,"0%"
"California","Placer",103942,118709,NA,228108,-14767,"0%"
"California","Plumas",4465,6247,238,10950,-1782,"4%"
"California","Riverside",524445,445461,NA,989262,78984,"0%"
"California","Sacramento",436059,255577,NA,709436,180482,"0%"
"California","San Benito",17315,10412,NA,28317,6903,"0%"
"California","San Bernardino",447924,359658,NA,825978,88266,"0%"
"California","San Diego",963797,599539,NA,1600272,364258,"0%"
"California","San Francisco",377772,56329,NA,442969,321443,"4%"
"California","San Joaquin",152722,114039,NA,272536,38683,"0%"
"California","San Luis Obispo",87491,66661,NA,158035,20830,"0%"
"California","San Mateo",290901,75404,NA,373374,215497,"0%"
"California","Santa Barbara",126419,63583,NA,194378,62836,"4%"
"California","Santa Clara",617824,214538,NA,850297,403286,"0%"
"California","Santa Cruz",113487,26688,NA,143757,86799,"2%"
"California","Shasta",29312,58886,NA,90225,-29574,"1%"
"California","Sierra",730,1142,NA,1930,-412,"7%"
"California","Siskiyou",9591,13288,NA,23446,-3697,"0%"
"California","Solano",131571,69263,NA,205716,62308,"0%"
"California","Sonoma",199929,61821,NA,268238,138108,"0%"
"California","Stanislaus",105028,103189,NA,213057,1839,"0%"
"California","Sutter",17364,24372,NA,42634,-7008,"0%"
"California","Tehama",8802,18865,NA,28319,-10063,"0%"
"California","Trinity",2848,3185,NA,6252,-337,"4%"
"California","Tulare",65056,76315,3077,144448,-11259,"0%"
"California","Tuolumne",11808,17302,NA,29820,-5494,"0%"
"California","Ventura",250784,161773,NA,421612,89011,"0%"
"California","Yolo",58328,22422,NA,82624,35906,"12%"
"California","Yuba",10343,16210,NA,27329,-5867,"0%"
"Colorado","Adams",134202,95657,NA,236735,38545,"0%"
"Colorado","Alamosa",3759,3813,NA,7808,-54,"0%"
"Colorado","Arapahoe",213673,127356,NA,350283,86317,"0%"
"Colorado","Archuleta",3738,5189,NA,9144,-1451,"0%"
"Colorado","Baca",317,1867,NA,2225,-1550,"0%"
"Colorado","Bent",732,1503,NA,2274,-771,"0%"
"Colorado","Boulder",159089,42501,NA,206111,116588,"0%"
"Colorado","Broomfield",29077,16295,NA,46632,12782,"0%"
"Colorado","Chaffee",7160,6222,335,13717,938,"0%"
"Colorado","Cheyenne",131,993,NA,1136,-862,"0%"
"Colorado","Clear Creek",3604,2754,NA,6548,850,"0%"
"Colorado","Conejos",1959,2286,NA,4333,-327,"0%"
"Colorado","Costilla",1311,741,NA,2094,570,"0%"
"Colorado","Crowley",437,1271,NA,1750,-834,"0%"
"Colorado","Custer",1111,2471,NA,3630,-1360,"0%"
"Colorado","Delta",5887,13081,NA,19370,-7194,"0%"
"Colorado","Denver",313292,71617,NA,393824,241675,"0%"
"Colorado","Dolores",341,1089,NA,1449,-748,"0%"
"Colorado","Douglas",104653,121270,5676,231599,-16617,"0%"
"Colorado","Eagle",18588,9891,NA,29139,8697,"0%"
"Colorado","El Paso",161636,202560,NA,378234,-40924,"0%"
"Colorado","Elbert",4490,14027,NA,18983,-9537,"0%"
"Colorado","Fremont",7369,17517,NA,25557,-10148,"0%"
"Colorado","Garfield",15427,14717,NA,30904,710,"0%"
"Colorado","Gilpin",2222,1833,NA,4185,389,"0%"
"Colorado","Grand",4709,4883,NA,9869,-174,"0%"
"Colorado","Gunnison",6976,3599,312,10887,3377,"0%"
"Colorado","Hinsdale",255,353,NA,632,-98,"0%"
"Colorado","Huerfano",2076,2203,NA,4406,-127,"0%"
"Colorado","Jackson",175,681,NA,876,-506,"0%"
"Colorado","Jefferson",218396,148417,NA,377357,69979,"0%"
"Colorado","Kiowa",98,795,NA,903,-697,"0%"
"Colorado","Kit Carson",662,3143,NA,3870,-2481,"0%"
"Colorado","La Plata",20548,14233,NA,35667,6315,"0%"
"Colorado","Lake",2303,1497,NA,3961,806,"0%"
"Colorado","Larimer",126120,91489,NA,224338,34631,"0%"
"Colorado","Las Animas",3497,4284,NA,7961,-787,"0%"
"Colorado","Lincoln",470,2135,NA,2651,-1665,"0%"
"Colorado","Logan",2218,8087,NA,10532,-5869,"0%"
"Colorado","Mesa",31536,56894,NA,90622,-25358,"0%"
"Colorado","Mineral",317,427,NA,756,-110,"0%"
"Colorado","Moffat",1203,5670,NA,7026,-4467,"0%"
"Colorado","Montezuma",5836,9306,NA,15500,-3470,"0%"
"Colorado","Montrose",7687,16770,NA,24922,-9083,"0%"
"Colorado","Morgan",3876,9593,NA,13744,-5717,"0%"
"Colorado","Otero",3605,5756,NA,9576,-2151,"0%"
"Colorado","Ouray",2365,1577,NA,4020,788,"0%"
"Colorado","Park",4903,6990,NA,12289,-2087,"0%"
"Colorado","Phillips",486,1958,NA,2485,-1472,"0%"
"Colorado","Pitkin",8989,2780,NA,11957,6209,"0%"
"Colorado","Prowers",1458,4008,NA,5561,-2550,"0%"
"Colorado","Pueblo",43772,42252,NA,88299,1520,"0%"
"Colorado","Rio Blanco",561,3061,NA,3691,-2500,"0%"
"Colorado","Rio Grande",2495,3660,NA,6305,-1165,"0%"
"Colorado","Routt",10582,5925,NA,16876,4657,"0%"
"Colorado","Saguache",1884,1413,NA,3389,471,"0%"
"Colorado","San Juan",342,202,19,563,140,"0%"
"Colorado","San Miguel",3923,1136,NA,5146,2787,"0%"
"Colorado","Sedgwick",301,1121,NA,1446,-820,"0%"
"Colorado","Summit",12620,5319,NA,18465,7301,"0%"
"Colorado","Teller",5278,11241,NA,16939,-5963,"0%"
"Colorado","Washington",369,2595,NA,3008,-2226,"0%"
"Colorado","Weld",66060,96145,NA,166968,-30085,"0%"
"Colorado","Yuma",785,4107,NA,4981,-3322,"0%"
"Connecticut","Fairfield",296239,168499,6612,471350,127740,"NA%"
"Connecticut","Hartford",284341,159370,7040,450751,124971,"NA%"
"Connecticut","Litchfield",50164,55609,1784,107557,-5445,"NA%"
"Connecticut","Middlesex",56848,40665,1685,99198,16183,"NA%"
"Connecticut","New Haven",242816,170438,5488,418742,72378,"NA%"
"Connecticut","New London",79459,57110,3035,139604,22349,"NA%"
"Connecticut","Tolland",44006,34819,1721,80546,9187,"NA%"
"Connecticut","Windham",26702,29141,1235,57078,-2439,"NA%"
"District of Columbia","Ward 1",38037,1703,891,40631,36334,"10%"
"District of Columbia","Ward 2",28185,2874,870,31929,25311,"14%"
"District of Columbia","Ward 3",38436,3638,1114,43188,34798,"9%"
"District of Columbia","Ward 4",41604,1885,872,44361,39719,"3%"
"District of Columbia","Ward 5",42453,1725,998,45176,40728,"0%"
"District of Columbia","Ward 6",52357,4176,1782,58315,48181,"0%"
"District of Columbia","Ward 7",35861,1116,859,37836,34745,"0%"
"District of Columbia","Ward 8",30332,1055,859,32246,29277,"1%"
"Delaware","Kent",44552,41009,1464,87025,3543,"0%"
"Delaware","New Castle",195034,88364,4235,287633,106670,"0%"
"Delaware","Sussex",56682,71230,1440,129352,-14548,"0%"
"Florida","Alachua",89704,50972,1928,142604,38732,"0%"
"Florida","Baker",2037,11911,111,14059,-9874,"0%"
"Florida","Bay",25614,66097,1313,93024,-40483,"0%"
"Florida","Bradford",3160,10334,138,13632,-7174,"0%"
"Florida","Brevard",148549,207883,4332,360764,-59334,"0%"
"Florida","Broward",618752,333409,5511,957672,285343,"0%"
"Florida","Calhoun",1209,5274,43,6526,-4065,"0%"
"Florida","Charlotte",42273,73243,824,116340,-30970,"0%"
"Florida","Citrus",27092,65352,764,93208,-38260,"0%"
"Florida","Clay",38317,84480,1608,124405,-46163,"0%"
"Florida","Collier",77621,128950,1247,207818,-51329,"0%"
"Florida","Columbia",8914,23836,292,33042,-14922,"0%"
"Florida","DeSoto",4259,8313,87,12659,-4054,"0%"
"Florida","Dixie",1365,6759,NA,8167,-5394,"0%"
"Florida","Duval",252556,233762,6502,492820,18794,"0%"
"Florida","Escambia",70929,96674,2769,170372,-25745,"0%"
"Florida","Flagler",28161,43043,512,71716,-14882,"0%"
"Florida","Franklin",2120,4675,NA,6849,-2555,"0%"
"Florida","Gadsden",16153,7465,NA,23762,8688,"0%"
"Florida","Gilchrist",1700,7895,90,9685,-6195,"0%"
"Florida","Glades",1385,3782,NA,5193,-2397,"0%"
"Florida","Gulf",1985,6113,65,8163,-4128,"0%"
"Florida","Hamilton",1963,3815,52,5830,-1852,"0%"
"Florida","Hardee",2298,6122,NA,8485,-3824,"0%"
"Florida","Hendry",4929,7906,105,12940,-2977,"0%"
"Florida","Hernando",37519,70412,991,108922,-32893,"0%"
"Florida","Highlands",16938,34873,359,52170,-17935,"0%"
"Florida","Hillsborough",376367,327398,8298,712063,48969,"0%"
"Florida","Holmes",924,8080,NA,9068,-7156,"0%"
"Florida","Indian River",37844,58872,768,97484,-21028,"0%"
"Florida","Jackson",6766,15488,165,22419,-8722,"0%"
"Florida","Jefferson",3897,4479,75,8451,-582,"0%"
"Florida","Lafayette",510,3128,NA,3658,-2618,"0%"
"Florida","Lake",83505,125859,1950,211314,-42354,"0%"
"Florida","Lee",157695,233247,2957,393899,-75552,"0%"
"Florida","Leon",103517,57453,1959,162929,46064,"0%"
"Florida","Levy",6205,16749,191,23145,-10544,"0%"
"Florida","Liberty",694,2846,NA,3561,-2152,"0%"
"Florida","Madison",3747,5576,57,9380,-1829,"0%"
"Florida","Manatee",90166,124987,1805,216958,-34821,"0%"
"Florida","Marion",74858,127826,1692,204376,-52968,"0%"
"Florida","Martin",36893,61168,665,98726,-24275,"0%"
"Florida","Miami-Dade",617864,532833,6119,1156816,85031,"0%"
"Florida","Monroe",21881,25693,455,48029,-3812,"0%"
"Florida","Nassau",15564,42566,681,58811,-27002,"0%"
"Florida","Okaloosa",34248,79798,2327,116373,-45550,"0%"
"Florida","Okeechobee",4390,11470,94,15954,-7080,"0%"
"Florida","Orange",395014,245398,6991,647403,149616,"0%"
"Florida","Osceola",97297,73480,1659,172436,23817,"0%"
"Florida","Palm Beach",433572,334711,4875,773158,98861,"0%"
"Florida","Pasco",119073,179621,3276,301970,-60548,"0%"
"Florida","Pinellas",277450,276209,6056,559715,1241,"0%"
"Florida","Polk",145049,194586,3621,343256,-49537,"0%"
"Florida","Putnam",10527,25514,332,36373,-14987,"0%"
"Florida","Santa Rosa",27612,77385,1931,106928,-49773,"0%"
"Florida","Sarasota",120110,148370,2095,270575,-28260,"0%"
"Florida","Seminole",132528,125241,3046,260815,7287,"0%"
"Florida","St. Johns",63850,110946,1826,176622,-47096,"0%"
"Florida","St. Lucie",84137,86831,1201,172169,-2694,"0%"
"Florida","Sumter",29341,62761,383,92485,-33420,"0%"
"Florida","Suwannee",4485,16410,NA,21057,-11925,"0%"
"Florida","Taylor",2299,7751,77,10127,-5452,"0%"
"Florida","Union",1053,5133,59,6245,-4080,"0%"
"Florida","Volusia",130575,173821,3043,307439,-43246,"0%"
"Florida","Wakulla",5351,12874,NA,18404,-7523,"0%"
"Florida","Walton",10338,32947,426,43711,-22609,"0%"
"Florida","Washington",2347,9876,NA,12327,-7529,"0%"
"Georgia","Appling",1779,6526,36,8341,-4747,"0%"
"Georgia","Atkinson",825,2300,30,3155,-1475,"0%"
"Georgia","Bacon",625,4018,25,4668,-3393,"0%"
"Georgia","Baker",652,897,6,1555,-245,"0%"
"Georgia","Baldwin",9140,8903,208,18251,237,"0%"
"Georgia","Banks",932,7795,74,8801,-6863,"0%"
"Georgia","Barrow",10453,26804,664,37921,-16351,"0%"
"Georgia","Bartow",12092,37674,NA,50467,-25582,"0%"
"Georgia","Ben Hill",2392,4110,58,6560,-1718,"0%"
"Georgia","Berrien",1269,6419,55,7743,-5150,"0%"
"Georgia","Bibb",43468,26585,749,70802,16883,"0%"
"Georgia","Bleckley",1311,4328,67,5706,-3017,"0%"
"Georgia","Brantley",699,6991,56,7746,-6292,"0%"
"Georgia","Brooks",2790,4260,50,7100,-1470,"0%"
"Georgia","Bryan",6739,14244,NA,21340,-7505,"0%"
"Georgia","Bulloch",11243,18386,455,30084,-7143,"0%"
"Georgia","Burke",5209,5400,NA,10684,-191,"0%"
"Georgia","Butts",3274,8406,106,11786,-5132,"0%"
"Georgia","Calhoun",1260,923,NA,2194,337,"0%"
"Georgia","Camden",7967,15251,470,23688,-7284,"0%"
"Georgia","Candler",1269,3133,29,4431,-1864,"0%"
"Georgia","Carroll",16238,37476,760,54474,-21238,"0%"
"Georgia","Catoosa",6932,25167,552,32651,-18235,"0%"
"Georgia","Charlton",1103,3419,44,4566,-2316,"0%"
"Georgia","Chatham",78254,53237,1929,133420,25017,"0%"
"Georgia","Chattahoochee",667,880,35,1582,-213,"1%"
"Georgia","Chattooga",1854,8064,132,10050,-6210,"0%"
"Georgia","Cherokee",42794,99587,NA,144830,-56793,"0%"
"Georgia","Clarke",36048,14446,NA,51333,21602,"0%"
"Georgia","Clay",790,637,7,1434,153,"0%"
"Georgia","Clayton",95476,15813,NA,112344,79663,"0%"
"Georgia","Clinch",747,2105,12,2864,-1358,"0%"
"Georgia","Cobb",221846,165459,NA,393746,56387,"0%"
"Georgia","Coffee",4511,10578,125,15214,-6067,"0%"
"Georgia","Colquitt",4187,11777,119,16083,-7590,"0%"
"Georgia","Columbia",29236,50013,1330,80579,-20777,"0%"
"Georgia","Cook",2059,4900,76,7035,-2841,"0%"
"Georgia","Coweta",24210,51501,1088,76799,-27291,"0%"
"Georgia","Crawford",1615,4428,59,6102,-2813,"0%"
"Georgia","Crisp",2986,4987,77,8050,-2001,"0%"
"Georgia","Dade",1261,6066,107,7434,-4805,"0%"
"Georgia","Dawson",2486,13398,197,16081,-10912,"0%"
"Georgia","DeKalb",308227,58373,4204,370804,249854,"0%"
"Georgia","Decatur",4780,6758,89,11627,-1978,"0%"
"Georgia","Dodge",2171,5843,56,8070,-3672,"0%"
"Georgia","Dooly",1911,2159,35,4105,-248,"0%"
"Georgia","Dougherty",24577,10454,280,35311,14123,"0%"
"Georgia","Douglas",42809,25451,837,69097,17358,"0%"
