"st","dist","dem","rep","other","totalvotes","remainingvote"
"Alaska",1,62385,108473,611,171469,"44%"
"Alabama",1,96363,204399,0,300762,"12%"
"Alabama",2,104592,197329,286,302207,"6%"
"Alabama",3,76983,170704,0,247687,"24%"
"Alabama",4,50730,246668,0,297398,"9%"
"Alabama",5,0,122516,0,122516,"60%"
"Alabama",6,0,273205,8062,281267,"16%"
"Alabama",7,209243,0,0,209243,"29%"
"Arkansas",1,0,236815,0,236815,"1%"
"Arkansas",2,145255,182248,0,327503,"5%"
